" Landtagswahl 2003 - Stimmen - 28.09.2003",,,,"(Stand 29.09.2003 17:09)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Nr.","Name","Wahlbe-","abgegeb.","Wahlbet.","ungültige",,"gültige",,"ÖVP",,"SPÖ",,"FPÖ",,"GRÜNE",,"KPÖ",,"erste Eingabe",,"letzte Eingabe",
,,"rechtigte","Stimmen","in %","Stimmen","in %","Stimmen","in %","Stimmen","Ant. %","Stimmen","Ant. %","Stimmen","Ant. %","Stimmen","Ant. %","Stimmen","Ant. %","Datum","Zeit","Datum","Zeit"
40000,"Land Oberösterreich                ",1019608,801892,78.65,20807,2.59,781085,97.41,339179,43.42,299402,38.33,65643,8.4,70742,9.06,6119,0.78,"28.09.03",0.89,"28.09.03",0.95
"4A000","Wahlkreis Linz und Umgebung             ",232762,166114,71.37,3461,2.08,162653,97.92,52921,32.54,76976,47.33,12219,7.51,18846,11.59,1691,1.04,"28.09.03",0.89,"28.09.03",0.89
"4B000","Wahlkreis Innviertel                    ",154681,122372,79.11,3997,3.27,118375,96.73,58218,49.18,36955,31.22,14573,12.31,7818,6.6,811,0.69,"28.09.03",0.83,"28.09.03",0.83
"4C000","Wahlkreis Hausruckviertel               ",248105,197538,79.62,5262,2.66,192276,97.34,84674,44.04,70569,36.7,18375,9.56,17293,8.99,1365,0.71,"28.09.03",0.87,"28.09.03",0.95
"4D000","Wahlkreis Traunviertel                  ",186027,147643,79.37,4079,2.76,143564,97.24,60518,42.15,58421,40.69,11246,7.83,12240,8.53,1139,0.79,"28.09.03",0.84,"28.09.03",0.84
"4E000","Wahlkreis Mühlviertel                   ",198033,168225,84.95,4008,2.38,164217,97.62,82848,50.45,56481,34.39,9230,5.62,14545,8.86,1113,0.68,"28.09.03",0.85,"28.09.03",0.92
"40100","Stadt Linz                          ",136891,91401,66.77,2000,2.19,89401,97.81,25975,29.05,43681,48.86,6947,7.77,11677,13.06,1121,1.25,"28.09.03",0.89,"28.09.03",0.89
"40200","Stadt Steyr                         ",28262,19708,69.73,550,2.79,19158,97.21,5244,27.37,10312,53.83,1387,7.24,1996,10.42,219,1.14,"28.09.03",0.82,"28.09.03",0.82
"40300","Stadt Wels                          ",39371,26673,67.75,592,2.22,26081,97.78,8374,32.11,12062,46.25,2641,10.13,2758,10.57,246,0.94,"28.09.03",0.79,"28.09.03",0.86
40400,"Bezirk Braunau am Inn                ",69559,52342,75.25,1856,3.55,50486,96.45,23987,47.51,17539,34.74,5286,10.47,3343,6.62,331,0.66,"28.09.03",0.8,"28.09.03",0.8
40401,"Altheim                       ",3661,2929,80.01,105,3.58,2824,96.42,1184,41.93,1134,40.16,304,10.76,184,6.52,18,0.64,"28.09.03",0.72,"28.09.03",0.72
40402,"Aspach                        ",1756,1463,83.31,43,2.94,1420,97.06,887,62.46,330,23.24,123,8.66,73,5.14,7,0.49,"28.09.03",0.74,"28.09.03",0.74
40403,"Auerbach                      ",384,313,81.51,11,3.51,302,96.49,210,69.54,45,14.9,26,8.61,18,5.96,3,0.99,"28.09.03",0.57,"28.09.03",0.57
40404,"Braunau am Inn                ",11760,7670,65.22,229,2.99,7441,97.01,2284,30.69,3501,47.05,784,10.54,820,11.02,52,0.7,"28.09.03",0.8,"28.09.03",0.8
40405,"Burgkirchen                   ",1902,1440,75.71,49,3.4,1391,96.6,759,54.57,409,29.4,133,9.56,87,6.25,3,0.22,"28.09.03",0.71,"28.09.03",0.71
40406,"Eggelsberg                    ",1529,1117,73.05,48,4.3,1069,95.7,554,51.82,315,29.47,115,10.76,83,7.76,2,0.19,"28.09.03",0.74,"28.09.03",0.74
40407,"Feldkirchen bei Mattighofen   ",1371,1019,74.33,45,4.42,974,95.58,547,56.16,202,20.74,180,18.48,38,3.9,7,0.72,"28.09.03",0.67,"28.09.03",0.67
40408,"Franking                      ",597,482,80.74,11,2.28,471,97.72,296,62.85,103,21.87,50,10.62,18,3.82,4,0.85,"28.09.03",0.57,"28.09.03",0.57
40409,"Geretsberg                    ",767,607,79.14,23,3.79,584,96.21,353,60.45,104,17.81,96,16.44,26,4.45,5,0.86,"28.09.03",0.66,"28.09.03",0.66
40410,"Gilgenberg am Weilhart        ",896,726,81.03,28,3.86,698,96.14,420,60.17,103,14.76,121,17.34,43,6.16,11,1.58,"28.09.03",0.75,"28.09.03",0.75
40411,"Haigermoos                    ",410,324,79.02,5,1.54,319,98.46,175,54.86,88,27.59,29,9.09,25,7.84,2,0.63,"28.09.03",0.59,"28.09.03",0.59
40412,"Handenberg                    ",983,744,75.69,44,5.91,700,94.09,421,60.14,147,21,93,13.29,34,4.86,5,0.71,"28.09.03",0.69,"28.09.03",0.69
40413,"Helpfau-Uttendorf             ",2251,1734,77.03,86,4.96,1648,95.04,811,49.21,578,35.07,184,11.17,67,4.07,8,0.49,"28.09.03",0.65,"28.09.03",0.65
40414,"Hochburg-Ach                  ",2115,1417,67,60,4.23,1357,95.77,791,58.29,337,24.83,111,8.18,103,7.59,15,1.11,"28.09.03",0.67,"28.09.03",0.67
40415,"Höhnhart                      ",1067,871,81.63,16,1.84,855,98.16,430,50.29,254,29.71,139,16.26,29,3.39,3,0.35,"28.09.03",0.7,"28.09.03",0.7
40416,"Jeging                        ",444,374,84.23,16,4.28,358,95.72,172,48.04,143,39.94,30,8.38,9,2.51,4,1.12,"28.09.03",0.61,"28.09.03",0.61
40417,"Kirchberg bei Mattighofen     ",775,647,83.48,27,4.17,620,95.83,381,61.45,93,15,113,18.23,29,4.68,4,0.65,"28.09.03",0.74,"28.09.03",0.74
40418,"Lengau                        ",3213,2516,78.31,77,3.06,2439,96.94,1016,41.66,1059,43.42,137,5.62,206,8.45,21,0.86,"28.09.03",0.74,"28.09.03",0.74
40419,"Lochen                        ",1786,1330,74.47,38,2.86,1292,97.14,790,61.15,295,22.83,124,9.6,72,5.57,11,0.85,"28.09.03",0.76,"28.09.03",0.76
40420,"Maria Schmolln                ",1012,843,83.3,37,4.39,806,95.61,481,59.68,225,27.92,55,6.82,42,5.21,3,0.37,"28.09.03",0.68,"28.09.03",0.68
