" Landtagswahl 2003 - Stimmen - 28.09.2003",,,,"(Stand 29.09.2003 17:09)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Nr.","Name","Wahlbe-","abgegeb.","Wahlbet.","ungültige",,"gültige",,"ÖVP",,"SPÖ",,"FPÖ",,"GRÜNE",,"KPÖ",,"erste Eingabe",,"letzte Eingabe",
40421,"Mattighofen                   ",3412,2429,71.19,85,3.5,2344,96.5,718,30.63,1191,50.81,265,11.31,153,6.53,17,0.73,"28.09.03",0.74,"28.09.03",0.74
40422,"Mauerkirchen                  ",1527,1114,72.95,41,3.68,1073,96.32,383,35.69,483,45.01,120,11.18,83,7.74,4,0.37,"28.09.03",0.67,"28.09.03",0.67
40423,"Mining                        ",880,707,80.34,30,4.24,677,95.76,344,50.81,216,31.91,71,10.49,40,5.91,6,0.89,"28.09.03",0.65,"28.09.03",0.65
40424,"Moosbach                      ",663,562,84.77,22,3.91,540,96.09,277,51.3,101,18.7,127,23.52,30,5.56,5,0.93,"28.09.03",0.6,"28.09.03",0.6
40425,"Moosdorf                      ",1062,842,79.28,40,4.75,802,95.25,312,38.9,376,46.88,61,7.61,50,6.23,3,0.37,"28.09.03",0.72,"28.09.03",0.72
40426,"Munderfing                    ",1942,1541,79.35,59,3.83,1482,96.17,745,50.27,534,36.03,95,6.41,102,6.88,6,0.4,"28.09.03",0.66,"28.09.03",0.66
40427,"Neukirchen an der Enknach     ",1555,1173,75.43,47,4.01,1126,95.99,544,48.31,334,29.66,168,14.92,68,6.04,12,1.07,"28.09.03",0.68,"28.09.03",0.68
40428,"Ostermiething                 ",2095,1429,68.21,76,5.32,1353,94.68,806,59.57,352,26.02,101,7.46,87,6.43,7,0.52,"28.09.03",0.66,"28.09.03",0.66
40429,"Palting                       ",664,482,72.59,11,2.28,471,97.72,323,68.58,94,19.96,28,5.94,18,3.82,8,1.7,"28.09.03",0.62,"28.09.03",0.62
40430,"Perwang am Grabensee          ",534,404,75.66,11,2.72,393,97.28,238,60.56,114,29.01,16,4.07,22,5.6,3,0.76,"28.09.03",0.61,"28.09.03",0.61
40431,"Pfaffstätt                    ",683,569,83.31,18,3.16,551,96.84,268,48.64,198,35.93,51,9.26,30,5.44,4,0.73,"28.09.03",0.72,"28.09.03",0.72
40432,"Pischelsdorf am Engelbach     ",1211,914,75.47,54,5.91,860,94.09,517,60.12,193,22.44,117,13.6,29,3.37,4,0.47,"28.09.03",0.67,"28.09.03",0.67
40433,"Polling im Innkreis           ",698,600,85.96,13,2.17,587,97.83,336,57.24,180,30.66,58,9.88,11,1.87,2,0.34,"28.09.03",0.59,"28.09.03",0.59
40434,"Roßbach                       ",718,649,90.39,20,3.08,629,96.92,334,53.1,210,33.39,62,9.86,18,2.86,5,0.79,"28.09.03",0.56,"28.09.03",0.56
40435,"St.Georgen am Fillmannsbach   ",291,260,89.35,7,2.69,253,97.31,104,41.11,29,11.46,107,42.29,12,4.74,1,0.4,"28.09.03",0.71,"28.09.03",0.71
40436,"St.Johann am Walde            ",1557,1279,82.15,49,3.83,1230,96.17,563,45.77,518,42.11,84,6.83,57,4.63,8,0.65,"28.09.03",0.77,"28.09.03",0.77
40437,"St.Pantaleon                  ",2192,1649,75.23,45,2.73,1604,97.27,663,41.33,744,46.38,80,4.99,100,6.23,17,1.06,"28.09.03",0.8,"28.09.03",0.8
40438,"St.Peter am Hart              ",1707,1283,75.16,56,4.36,1227,95.64,548,44.66,442,36.02,105,8.56,129,10.51,3,0.24,"28.09.03",0.63,"28.09.03",0.63
40439,"St.Radegund                   ",438,364,83.11,2,0.55,362,99.45,300,82.87,41,11.33,7,1.93,11,3.04,3,0.83,"28.09.03",0.68,"28.09.03",0.68
40440,"St.Veit im Innkreis           ",299,277,92.64,1,0.36,276,99.64,147,53.26,89,32.25,29,10.51,11,3.99,0,0,"28.09.03",0.53,"28.09.03",0.53
40441,"Schalchen                     ",2615,1972,75.41,64,3.25,1908,96.75,719,37.68,867,45.44,178,9.33,135,7.08,9,0.47,"28.09.03",0.79,"28.09.03",0.79
40442,"Schwand im Innkreis           ",664,512,77.11,28,5.47,484,94.53,298,61.57,111,22.93,53,10.95,19,3.93,3,0.62,"28.09.03",0.64,"28.09.03",0.64
40443,"Tarsdorf                      ",1422,1060,74.54,26,2.45,1034,97.55,636,61.51,230,22.24,100,9.67,62,6,6,0.58,"28.09.03",0.64,"28.09.03",0.67
40444,"Treubach                      ",562,472,83.99,8,1.69,464,98.31,289,62.28,93,20.04,66,14.22,14,3.02,2,0.43,"28.09.03",0.56,"28.09.03",0.56
40445,"Überackern                    ",427,350,81.97,12,3.43,338,96.57,180,53.25,102,30.18,45,13.31,9,2.66,2,0.59,"28.09.03",0.6,"28.09.03",0.6
40446,"Weng im Innkreis              ",1062,883,83.15,33,3.74,850,96.26,433,50.94,232,27.29,145,17.06,37,4.35,3,0.35,"28.09.03",0.72,"28.09.03",0.72
40500,"Bezirk Eferding                      ",22929,19292,84.14,500,2.59,18792,97.41,8208,43.68,7222,38.43,1658,8.82,1574,8.38,130,0.69,"28.09.03",0.87,"28.09.03",0.87
40501,"Alkoven                       ",3943,3223,81.74,59,1.83,3164,98.17,1032,32.62,1592,50.32,242,7.65,275,8.69,23,0.73,"28.09.03",0.74,"28.09.03",0.74
40502,"Aschach an der Donau          ",1569,1318,84,21,1.59,1297,98.41,439,33.85,570,43.95,146,11.26,135,10.41,7,0.54,"28.09.03",0.87,"28.09.03",0.87
40503,"Eferding                      ",2538,2102,82.82,53,2.52,2049,97.48,858,41.87,815,39.78,187,9.13,174,8.49,15,0.73,"28.09.03",0.74,"28.09.03",0.74
40504,"Fraham                        ",1503,1283,85.36,35,2.73,1248,97.27,464,37.18,563,45.11,104,8.33,109,8.73,8,0.64,"28.09.03",0.8,"28.09.03",0.8
40505,"Haibach ob der Donau          ",994,853,85.81,26,3.05,827,96.95,425,51.39,271,32.77,40,4.84,83,10.04,8,0.97,"28.09.03",0.72,"28.09.03",0.72
40506,"Hartkirchen                   ",3078,2591,84.18,61,2.35,2530,97.65,1239,48.97,859,33.95,229,9.05,193,7.63,10,0.4,"28.09.03",0.73,"28.09.03",0.73
40507,"Hinzenbach                    ",1419,1271,89.57,36,2.83,1235,97.17,591,47.85,469,37.98,73,5.91,95,7.69,7,0.57,"28.09.03",0.81,"28.09.03",0.81
40508,"Prambachkirchen               ",2095,1758,83.91,46,2.62,1712,97.38,920,53.74,527,30.78,117,6.83,133,7.77,15,0.88,"28.09.03",0.74,"28.09.03",0.74
40509,"Pupping                       ",1402,1167,83.24,47,4.03,1120,95.97,503,44.91,372,33.21,138,12.32,99,8.84,8,0.71,"28.09.03",0.7,"28.09.03",0.71
40510,"St.Marienkirchen an d. Polsenz",1650,1423,86.24,42,2.95,1381,97.05,647,46.85,512,37.07,118,8.54,94,6.81,10,0.72,"28.09.03",0.7,"28.09.03",0.7
40511,"Scharten                      ",1524,1251,82.09,20,1.6,1231,98.4,453,36.8,445,36.15,187,15.19,138,11.21,8,0.65,"28.09.03",0.8,"28.09.03",0.8
40512,"Stroheim                      ",1214,1052,86.66,54,5.13,998,94.87,637,63.83,227,22.75,77,7.72,46,4.61,11,1.1,"28.09.03",0.71,"28.09.03",0.71
40600,"Bezirk Freistadt                     ",48120,41625,86.5,970,2.33,40655,97.67,20623,50.73,14338,35.27,2116,5.2,3310,8.14,268,0.66,"28.09.03",0.79,"28.09.03",0.79
40601,"Freistadt                     ",5556,4501,81.01,110,2.44,4391,97.56,1923,43.79,1623,36.96,269,6.13,531,12.09,45,1.02,"28.09.03",0.79,"28.09.03",0.79
40602,"Grünbach                      ",1327,1134,85.46,32,2.82,1102,97.18,640,58.08,296,26.86,70,6.35,90,8.17,6,0.54,"28.09.03",0.78,"28.09.03",0.78
40603,"Gutau                         ",1972,1730,87.73,29,1.68,1701,98.32,861,50.62,602,35.39,100,5.88,133,7.82,5,0.29,"28.09.03",0.7,"28.09.03",0.7
40604,"Hagenberg im Mühlkreis        ",1900,1629,85.74,36,2.21,1593,97.79,602,37.79,650,40.8,89,5.59,237,14.88,15,0.94,"28.09.03",0.75,"28.09.03",0.75
40605,"Hirschbach im Mühlkreis       ",882,775,87.87,25,3.23,750,96.77,415,55.33,239,31.87,38,5.07,52,6.93,6,0.8,"28.09.03",0.71,"28.09.03",0.71
40606,"Kaltenberg                    ",478,432,90.38,9,2.08,423,97.92,349,82.51,41,9.69,24,5.67,7,1.65,2,0.47,"28.09.03",0.66,"28.09.03",0.66
40607,"Kefermarkt                    ",1546,1362,88.1,48,3.52,1314,96.48,680,51.75,459,34.93,55,4.19,114,8.68,6,0.46,"28.09.03",0.74,"28.09.03",0.74
40608,"Königswiesen                  ",2356,1940,82.34,53,2.73,1887,97.27,1104,58.51,575,30.47,114,6.04,85,4.5,9,0.48,"28.09.03",0.75,"28.09.03",0.75
40609,"Lasberg                       ",2093,1801,86.05,37,2.05,1764,97.95,971,55.05,503,28.51,97,5.5,180,10.2,13,0.74,"28.09.03",0.72,"28.09.03",0.72
40610,"Leopoldschlag                 ",782,700,89.51,35,5,665,95,415,62.41,145,21.8,57,8.57,46,6.92,2,0.3,"28.09.03",0.65,"28.09.03",0.65
40611,"Liebenau                      ",1383,1292,93.42,27,2.09,1265,97.91,741,58.58,436,34.47,38,3,46,3.64,4,0.32,"28.09.03",0.74,"28.09.03",0.74
40612,"Neumarkt im Mühlkreis         ",2291,2017,88.04,38,1.88,1979,98.12,962,48.61,675,34.11,123,6.22,212,10.71,7,0.35,"28.09.03",0.79,"28.09.03",0.79
40613,"Pierbach                      ",742,632,85.18,10,1.58,622,98.42,371,59.65,194,31.19,34,5.47,21,3.38,2,0.32,"28.09.03",0.71,"28.09.03",0.71
40614,"Pregarten                     ",3661,3141,85.8,68,2.16,3073,97.84,1325,43.12,1326,43.15,155,5.04,247,8.04,20,0.65,"28.09.03",0.7,"28.09.03",0.7
40615,"Rainbach im Mühlkreis         ",2159,1870,86.61,42,2.25,1828,97.75,1014,55.47,582,31.84,87,4.76,131,7.17,14,0.77,"28.09.03",0.77,"28.09.03",0.77
40616,"Sandl                         ",1120,1057,94.38,24,2.27,1033,97.73,467,45.21,471,45.6,37,3.58,53,5.13,5,0.48,"28.09.03",0.71,"28.09.03",0.71
40617,"St.Leonhard bei Freistadt     ",1132,1027,90.72,29,2.82,998,97.18,551,55.21,349,34.97,38,3.81,49,4.91,11,1.1,"28.09.03",0.72,"28.09.03",0.72
40618,"St.Oswald bei Freistadt       ",1975,1683,85.22,38,2.26,1645,97.74,799,48.57,658,40,93,5.65,83,5.05,12,0.73,"28.09.03",0.72,"28.09.03",0.72
40619,"Schönau im Mühlkreis          ",1385,1218,87.94,10,0.82,1208,99.18,706,58.44,393,32.53,52,4.3,51,4.22,6,0.5,"28.09.03",0.71,"28.09.03",0.71
40620,"Tragwein                      ",2211,2052,92.81,22,1.07,2030,98.93,980,48.28,854,42.07,56,2.76,129,6.35,11,0.54,"28.09.03",0.72,"28.09.03",0.72
40621,"Unterweißenbach               ",1795,1533,85.4,52,3.39,1481,96.61,908,61.31,439,29.64,66,4.46,56,3.78,12,0.81,"28.09.03",0.76,"28.09.03",0.76
40622,"Unterweitersdorf              ",1302,1184,90.94,21,1.77,1163,98.23,463,39.81,547,47.03,44,3.78,100,8.6,9,0.77,"28.09.03",0.72,"28.09.03",0.72
40623,"Waldburg                      ",1029,844,82.02,19,2.25,825,97.75,467,56.61,263,31.88,20,2.42,72,8.73,3,0.36,"28.09.03",0.77,"28.09.03",0.77
40624,"Wartberg ob der Aist          ",2896,2492,86.05,74,2.97,2418,97.03,926,38.3,1042,43.09,148,6.12,285,11.79,17,0.7,"28.09.03",0.75,"28.09.03",0.75
40625,"Weitersfelden                 ",844,737,87.32,12,1.63,725,98.37,451,62.21,204,28.14,21,2.9,45,6.21,4,0.55,"28.09.03",0.7,"28.09.03",0.7
40626,"Windhaag bei Freistadt        ",1283,1107,86.28,28,2.53,1079,97.47,620,57.46,301,27.9,87,8.06,64,5.93,7,0.65,"28.09.03",0.75,"28.09.03",0.75
40627,"Bad Zell                      ",2020,1735,85.89,42,2.42,1693,97.58,912,53.87,471,27.82,104,6.14,191,11.28,15,0.89,"28.09.03",0.74,"28.09.03",0.74
40700,"Bezirk Gmunden                       ",73853,58306,78.95,1771,3.04,56535,96.96,23482,41.54,23174,40.99,4470,7.91,4927,8.71,482,0.85,"28.09.03",0.84,"28.09.03",0.84
40701,"Altmünster                    ",7272,5823,80.07,201,3.45,5622,96.55,2782,49.48,1937,34.45,317,5.64,547,9.73,39,0.69,"28.09.03",0.71,"28.09.03",0.71
40702,"Bad Goisern                   ",5694,4363,76.62,160,3.67,4203,96.33,1117,26.58,2279,54.22,450,10.71,299,7.11,58,1.38,"28.09.03",0.73,"28.09.03",0.73
40703,"Bad Ischl                     ",10439,7492,71.77,208,2.78,7284,97.22,3137,43.07,2751,37.77,606,8.32,715,9.82,75,1.03,"28.09.03",0.74,"28.09.03",0.74
40704,"Ebensee                       ",6483,5143,79.33,173,3.36,4970,96.64,1640,33,2652,53.36,249,5.01,373,7.51,56,1.13,"28.09.03",0.8,"28.09.03",0.8
40705,"Gmunden                       ",9651,7329,75.94,203,2.77,7126,97.23,3349,47,2158,30.28,670,9.4,886,12.43,63,0.88,"28.09.03",0.78,"28.09.03",0.78
40706,"Gosau                         ",1476,1211,82.05,50,4.13,1161,95.87,377,32.47,663,57.11,53,4.57,63,5.43,5,0.43,"28.09.03",0.72,"28.09.03",0.72
40707,"Grünau im Almtal              ",1600,1416,88.5,53,3.74,1363,96.26,602,44.17,515,37.78,164,12.03,70,5.14,12,0.88,"28.09.03",0.74,"28.09.03",0.74
40708,"Gschwandt                     ",1821,1462,80.29,63,4.31,1399,95.69,717,51.25,453,32.38,106,7.58,113,8.08,10,0.71,"28.09.03",0.81,"28.09.03",0.81
40709,"Hallstatt                     ",751,604,80.43,18,2.98,586,97.02,165,28.16,319,54.44,33,5.63,54,9.22,15,2.56,"28.09.03",0.71,"28.09.03",0.71
40710,"Kirchham                      ",1415,1139,80.49,42,3.69,1097,96.31,673,61.35,228,20.78,102,9.3,87,7.93,7,0.64,"28.09.03",0.72,"28.09.03",0.72
40711,"Laakirchen                    ",6392,5033,78.74,107,2.13,4926,97.87,1547,31.4,2629,53.37,334,6.78,376,7.63,40,0.81,"28.09.03",0.71,"28.09.03",0.71
40712,"Obertraun                     ",593,528,89.04,9,1.7,519,98.3,191,36.8,290,55.88,11,2.12,21,4.05,6,1.16,"28.09.03",0.68,"28.09.03",0.68
40713,"Ohlsdorf                      ",3437,2856,83.1,79,2.77,2777,97.23,1154,41.56,1202,43.28,188,6.77,212,7.63,21,0.76,"28.09.03",0.73,"28.09.03",0.73
40714,"Pinsdorf                      ",2594,2128,82.04,67,3.15,2061,96.85,801,38.86,934,45.32,138,6.7,176,8.54,12,0.58,"28.09.03",0.68,"28.09.03",0.68
40715,"Roitham                       ",1498,1294,86.38,27,2.09,1267,97.91,558,44.04,439,34.65,174,13.73,91,7.18,5,0.39,"28.09.03",0.67,"28.09.03",0.67
40716,"St.Konrad                     ",788,659,83.63,17,2.58,642,97.42,349,54.36,200,31.15,39,6.07,46,7.17,8,1.25,"28.09.03",0.64,"28.09.03",0.64
40717,"St.Wolfgang im Salzkammergut  ",2033,1530,75.26,45,2.94,1485,97.06,744,50.1,527,35.49,132,8.89,71,4.78,11,0.74,"28.09.03",0.84,"28.09.03",0.84
40718,"Traunkirchen                  ",1329,1106,83.22,41,3.71,1065,96.29,522,49.01,369,34.65,57,5.35,112,10.52,5,0.47,"28.09.03",0.74,"28.09.03",0.74
40719,"Scharnstein                   ",3398,2861,84.2,72,2.52,2789,97.48,1137,40.77,1145,41.05,261,9.36,234,8.39,12,0.43,"28.09.03",0.69,"28.09.03",0.69
40720,"Vorchdorf                     ",5189,4329,83.43,136,3.14,4193,96.86,1920,45.79,1484,35.39,386,9.21,381,9.09,22,0.52,"28.09.03",0.77,"28.09.03",0.77
40800,"Bezirk Grieskirchen                  ",46230,38700,83.71,1086,2.81,37614,97.19,19246,51.17,11063,29.41,4015,10.67,3048,8.1,242,0.64,"28.09.03",0.83,"28.09.03",0.83
40801,"Aistersheim                   ",576,510,88.54,13,2.55,497,97.45,257,51.71,139,27.97,75,15.09,24,4.83,2,0.4,"28.09.03",0.64,"28.09.03",0.64
40802,"Bad Schallerbach              ",2630,2118,80.53,54,2.55,2064,97.45,967,46.85,726,35.17,183,8.87,177,8.58,11,0.53,"28.09.03",0.74,"28.09.03",0.74
40803,"Bruck-Waasen                  ",1720,1398,81.28,37,2.65,1361,97.35,849,62.38,331,24.32,89,6.54,86,6.32,6,0.44,"28.09.03",0.67,"28.09.03",0.67
40804,"Eschenau im Hausruckkreis     ",856,741,86.57,18,2.43,723,97.57,468,64.73,138,19.09,66,9.13,41,5.67,10,1.38,"28.09.03",0.68,"28.09.03",0.68
40805,"Gallspach                     ",1801,1465,81.34,39,2.66,1426,97.34,613,42.99,535,37.52,169,11.85,103,7.22,6,0.42,"28.09.03",0.76,"28.09.03",0.76
40806,"Gaspoltshofen                 ",2662,2309,86.74,77,3.33,2232,96.67,1018,45.61,602,26.97,375,16.8,222,9.95,15,0.67,"28.09.03",0.68,"28.09.03",0.68
40807,"Geboltskirchen                ",1023,860,84.07,25,2.91,835,97.09,353,42.28,324,38.8,86,10.3,69,8.26,3,0.36,"28.09.03",0.71,"28.09.03",0.71
40808,"Grieskirchen                  ",3417,2780,81.36,95,3.42,2685,96.58,1254,46.7,859,31.99,267,9.94,293,10.91,12,0.45,"28.09.03",0.83,"28.09.03",0.83
40809,"Haag am Hausruck              ",1527,1320,86.44,26,1.97,1294,98.03,616,47.6,434,33.54,143,11.05,99,7.65,2,0.15,"28.09.03",0.72,"28.09.03",0.72
40810,"Heiligenberg                  ",515,442,85.83,11,2.49,431,97.51,316,73.32,26,6.03,66,15.31,20,4.64,3,0.7,"28.09.03",0.58,"28.09.03",0.58
40811,"Hofkirchen an der Trattnach   ",1068,877,82.12,18,2.05,859,97.95,430,50.06,217,25.26,135,15.72,68,7.92,9,1.05,"28.09.03",0.69,"28.09.03",0.69
40812,"Kallham                       ",1945,1604,82.47,62,3.87,1542,96.13,794,51.49,477,30.93,167,10.83,96,6.23,8,0.52,"28.09.03",0.66,"28.09.03",0.66
40813,"Kematen am Innbach            ",931,752,80.77,13,1.73,739,98.27,337,45.6,205,27.74,116,15.7,71,9.61,10,1.35,"28.09.03",0.69,"28.09.03",0.69
40814,"Meggenhofen                   ",927,776,83.71,25,3.22,751,96.78,473,62.98,150,19.97,74,9.85,50,6.66,4,0.53,"28.09.03",0.67,"28.09.03",0.67
40815,"Michaelnbach                  ",970,809,83.4,16,1.98,793,98.02,490,61.79,163,20.55,90,11.35,46,5.8,4,0.5,"28.09.03",0.74,"28.09.03",0.74
40816,"Natternbach                   ",1762,1502,85.24,51,3.4,1451,96.6,755,52.03,492,33.91,103,7.1,84,5.79,17,1.17,"28.09.03",0.71,"28.09.03",0.71
40817,"Neukirchen am Walde           ",1258,1059,84.18,23,2.17,1036,97.83,630,60.81,221,21.33,100,9.65,67,6.47,18,1.74,"28.09.03",0.76,"28.09.03",0.76
40818,"Neumarkt im Hausruckkreis     ",1050,867,82.57,17,1.96,850,98.04,372,43.76,318,37.41,107,12.59,47,5.53,6,0.71,"28.09.03",0.78,"28.09.03",0.78
40819,"Peuerbach                     ",1671,1283,76.78,38,2.96,1245,97.04,677,54.38,322,25.86,125,10.04,111,8.92,10,0.8,"28.09.03",0.77,"28.09.03",0.77
40820,"Pötting                       ",407,373,91.65,5,1.34,368,98.66,265,72.01,73,19.84,15,4.08,14,3.8,1,0.27,"28.09.03",0.7,"28.09.03",0.7
40821,"Pollham                       ",654,593,90.67,34,5.73,559,94.27,335,59.93,131,23.43,45,8.05,44,7.87,4,0.72,"28.09.03",0.71,"28.09.03",0.71
40822,"Pram                          ",1329,1068,80.36,33,3.09,1035,96.91,461,44.54,262,25.31,188,18.16,116,11.21,8,0.77,"28.09.03",0.79,"28.09.03",0.79
40823,"Rottenbach                    ",774,694,89.66,17,2.45,677,97.55,303,44.76,200,29.54,115,16.99,59,8.71,0,0,"28.09.03",0.64,"28.09.03",0.64
40824,"St.Agatha                     ",1638,1407,85.9,37,2.63,1370,97.37,875,63.87,332,24.23,80,5.84,72,5.26,11,0.8,"28.09.03",0.69,"28.09.03",0.69
40825,"St.Georgen bei Grieskirchen   ",791,669,84.58,20,2.99,649,97.01,337,51.93,182,28.04,56,8.63,68,10.48,6,0.92,"28.09.03",0.64,"28.09.03",0.64
40826,"St.Thomas                     ",323,303,93.81,8,2.64,295,97.36,192,65.08,62,21.02,23,7.8,16,5.42,2,0.68,"28.09.03",0.57,"28.09.03",0.57
40827,"Schlüßlberg                   ",2252,1964,87.21,43,2.19,1921,97.81,713,37.12,914,47.58,129,6.72,161,8.38,4,0.21,"28.09.03",0.74,"28.09.03",0.74
40828,"Steegen                       ",843,678,80.43,18,2.65,660,97.35,380,57.58,178,26.97,46,6.97,54,8.18,2,0.3,"28.09.03",0.67,"28.09.03",0.67
40829,"Taufkirchen an der Trattnach  ",1520,1230,80.92,53,4.31,1177,95.69,605,51.4,299,25.4,187,15.89,76,6.46,10,0.85,"28.09.03",0.83,"28.09.03",0.83
40830,"Tollet                        ",637,563,88.38,11,1.95,552,98.05,280,50.72,165,29.89,44,7.97,61,11.05,2,0.36,"28.09.03",0.62,"28.09.03",0.62
